id,move_why,cat1,subcat1,cat2,subcat2
7394,Family reasons,Family / Relationship,,,
7399,Pursuing higher education,Job / school,,,
7405,Easier commute to work,Job / school,,,
7411,To get closer to family,Family / Relationship,,,
7416,Way too expensive,Cost,General,,
7420,Too expensive to live,Cost,Housing,,
7423,Closer to nature/things to do,Atmosphere,Nature,,
7424,,No Answer,,,
7427,"Will need to buy, can't afford",Cost,Housing,,
7432,Unaffordable Housing,Cost,Housing,,
7433,Affordability & schools,Cost,Housing,School system,
7435,High rents,Cost,Housing,,
7439,Airplane noise,Atmosphere,Noise,,
7442,"Too liberal, too expensive",Political,,Cost,General
7444,"Cost of living, space",Cost,General,Atmosphere,Space
7448,Employment,Job / school,,,
7451,Nature,Atmosphere,Nature,,
7452,Cheaper Housing,Cost,Housing,,
7458,Cost to buy housing too high,Cost,Housing,,
7462,Move to single family,Other,Housing,,
7465,"Somerville sucks, too many bikes, taxes too high, water bills too high",Atmosphere,Traffic / bikes,Cost,Taxes
7466,Buy a house,Other,Housing,,
7468,,No Answer,,,
7470,Cost of housing,Cost,Housing,,
7472,Too expensive,Cost,General,,
7480,Rent too expensive,Cost,Housing,,
7481,Too expensive here,Cost,General,,
7483,Too expensive/construction,Cost,General,Atmosphere,Construction
7484,Rent,Cost,Housing,,
7489,It's noisy and crowded,Atmosphere,Noise,Atmosphere,Crowds
7494,Touring schedule of a professional musician,Job / school,,,
7501,"Can't afford rent, Rent control please.",Cost,Housing,,
7502,Rent is excessive. Rent control please.,Cost,Housing,,
7505,"Leaving the US/Somerville is too expensive, Union Sq. is unlivable now",Cost,Housing,,
7512,I want to move to the West Coast,Other,,,
7514,rent is too high,Cost,Housing,,
7516,"Really, think about it, city environment isn't family friendly like it was",Atmosphere,Other,,
7529,Housing costs to own,Cost,Housing,,
7536,Too expensive,Cost,Housing,,
7544,Tired of city living,Atmosphere,Other,,
7551,Bad traffic patterns/new bike roads,Atmosphere,Traffic / bikes,,
7554,Can't afford it,Cost,General,,
7556,Trying to buy: can't afford Somerville prices,Cost,Housing,,
7558,"Probably can't afford it, too much corruption",Cost,General,Political,
7562,Traffic and cost of housing,Atmosphere,Traffic / bikes,Cost,Housing
7563,Rent is getting higher. Too much crowd. No place to st. parking,Cost,Housing,Atmosphere,Crowds
7565,"Cost of living, and favorite small businesses closing",Cost,General,Atmosphere,Other
7569,"Want to downsize, can't afford to buy in my neighborhood",Cost,Housing,,
7570,Career change,Job / school,,,
7571,Housing too expensive,Cost,Housing,,
7579,Do not like sanctuary city,Political,,,
7587,"We pay a lot to live on red line, it is becoming less & less reliable so no longer seems worth it. Would rather move further out:have more space:green space",Cost,Housing,Atmosphere,Nature
7589,Buy house,Other,Housing,,
7591,Cost/traffic,Cost,General,Atmosphere,Traffic / bikes
